Tratamiento ,Temperatura,Longitud_raiz_mm,Longitud_tallo_mm,Numero_de_hojas
Fertilizante ,15 grados C,0.26,0.89,2
Fertilizante ,15 grados C,2.94,2.83,2
Fertilizante ,15 grados C,0.68,1.3,2
Fertilizante ,15 grados C,1.8,1.38,2
Fertilizante ,15 grados C,2.5,1.19,1
Fertilizante ,15 grados C,0.93,1.13,1
Fertilizante ,15 grados C,1,2.3,2
Fertilizante ,15 grados C,1.78,3.7,1
Fertilizante ,20 grados C,5.8,3.11,2
Fertilizante ,20 grados C,5.9,2.95,3
Fertilizante ,20 grados C,6.23,3.65,1
Fertilizante ,20 grados C,2.93,2.8,3
Fertilizante ,20 grados C,1.48,0.76,2
Fertilizante ,20 grados C,2.13,0.97,2
Fertilizante ,20 grados C,2.56,1.12,2
Fertilizante ,20 grados C,3.52,1.12,1
Bioestimulante,15 grados C,6.68,4.62,2
Bioestimulante,15 grados C,7.73,5.78,2
Bioestimulante,15 grados C,4.01,3.26,3
Bioestimulante,15 grados C,4.95,3.83,3
Bioestimulante,15 grados C,9.62,7.2,1
Bioestimulante,15 grados C,7.8,5.83,3
Bioestimulante,15 grados C,9.79,6.54,1
Bioestimulante,15 grados C,9.6,3.62,2
Bioestimulante,20 grados C,10.6,9.46,3
Bioestimulante,20 grados C,11.26,10.97,2
Bioestimulante,20 grados C,7.47,3.11,2
Bioestimulante,20 grados C,6.5,2.78,3
Bioestimulante,20 grados C,9.04,6.14,3
Bioestimulante,20 grados C,8.3,4.63,3
Bioestimulante,20 grados C,7.35,3.66,2
Bioestimulante,20 grados C,8.97,6.8,1
